id,description,timestamp
1,Início da Guerra da Sucessão Espanhola,-8488788812.0
2,Frederico I torna-se no primeiro Rei da Prússia,-8488788812.0
3,Fundação da Universidade de Yale.,-8488788812.0
4,"Fim do reinado de Gedun Chomphel, Desi Druk do reino do Butão.",-8488788812.0
5,"Inicio do reinado de Ngawang Tshering, Desi Druk do reino do Butão.",-8488788812.0
6,Início da Guerra da Rainha Ana,-8457252812.0
7,Francisco de São Jerônimo é nomeado bispo do Rio de Janeiro,-8457252812.0
8,António Coelho Guerreiro é nomeado primeiro governador de Timor,-8457252812.0
9,"Fundação do arraial do Serro Frio, em Minas Gerais, Brasil",-8457252812.0
10,"Construção da Ermida de Jesus Maria e José, no lugar da Várzea, ilha de São Miguel, Açores.",-8457252812.0
11,a Intendência das Minas.,-8457252812.0
12,"Naufrágio da fragata francesa ''''Fla Orbanne'''', nos baixios da Baía de Angra. Este acidente deixou informações nos livros de óbitos da freguesia da Sé, aquando da inumação dos náufragos dados à costa da cidade.  Affaires Etrangères, B1.652, Fº 64.",-8427617612.0
13,"Iniciada a mineração, o rei de Portugal criou a Intendência das Minas, órgão encarregado de controlar a exploração de ouro, cobrar impostos e julgar os crimes praticados na região.",-8427617612.0
14,"Epidemia de febre amarela assola a cidade de Nova Iorque, dizimando 10% de sua população.",-8427617612.0
15,"Construção da Ermida de Santa Margarida de Chaves, Rosto de Cão, ilha de São Miguel, Açores.",-8425716812.0
16,"É criado o jornal diário Wiener Zeitung,até então chamado de Wiennerisches Diarium.",-8406795212.0
17,Portugal e Inglaterra assinaram o Tratado de Methuen.,-8394612812.0
18,Portugal e Inglaterra assinaram o Tratado de Methuen.,-8394612812.0
19,"Fim do reinado de Ngawang Tshering, Desi Druk do reino do Butão.",-8394180812.0
20,"Inicio do reinado de Umdze Peljor, Desi Druk do reino do Butão.",-8394180812.0
21,"Surto epidémico na ilha do Faial, Açores que causa muitas mortes.",-8394180812.0
22,"Publicado o primeiro jornal regular das Treze Colônias em Boston, chamado ''The Boston News-Letter''.",-8384331212.0
23,"Batalha de Blenheim, entre as tropas anglo-austríacas e as franco-bávaras",-8374740812.0
24,"Uma força Anglo-Neerlandesa, liderada por Sir George Rooke, Captura Gibraltar a Espanha",-8374740812.0
